"","Occ1_1","Occ1_2","Occ1_3","Occ1_4","Occ1_5","Occ2_1","Occ2_2","Occ2_3","Occ2_4","Occ2_5","Occ3_1","Occ3_2","Occ3_3","Occ3_4","Occ3_5"
"BogotaA1",1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
"BogotaA2",1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
"BogotaA3",1,2,3,4,5,1,2,3,4,0,1,2,3,4,5
"GoochA1",1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
"GoochA2",1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
"GoochA3",1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
"HatchieA1",1,2,3,4,5,0,0,3,4,5,0,0,0,0,0
"HatchieB1",1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
"HatchieC1",1,2,3,4,5,0,0,0,0,0,1,2,3,4,5
"HatchieD1",1,2,3,0,0,0,2,0,0,0,0,0,0,0,0
"HatchieD2",1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
"Lake IsomA2",1,2,3,4,5,1,2,3,4,5,0,0,0,0,0
"Lake IsomA3",1,2,3,4,5,1,2,3,4,5,0,0,0,0,0
"Lower HatchieA1",1,2,3,4,5,0,0,0,0,0,1,2,3,4,5
"Lower HatchieA2",1,2,3,4,5,0,0,0,0,5,0,0,0,0,0
"Lower HatchieA3",1,2,3,4,5,0,0,0,0,5,1,2,3,4,5
"Parker BranchA1",1,2,3,4,5,0,0,0,0,5,1,2,3,4,0
"Parker BranchA2",1,2,3,4,0,0,0,0,0,0,0,0,0,0,0
"Tennessee NationalA1",1,2,3,4,0,0,0,0,0,0,1,2,3,4,5
"Tennessee NationalA2",1,2,3,4,5,0,2,3,4,5,1,2,3,4,5
"Tennessee NationalB2",1,2,3,4,0,0,0,3,4,5,1,2,3,4,5
"Tennessee NationalB3",1,2,3,4,5,0,2,3,4,5,1,2,3,4,5
"TigrettA1",1,2,3,4,5,0,0,0,4,5,1,2,3,4,5
"TigrettA2",1,2,3,4,5,0,0,0,4,5,1,2,3,4,5
"TigrettA3",1,2,3,0,0,0,0,0,4,5,1,2,3,4,5
"ReelfootA1",1,2,3,4,5,0,0,0,0,0,1,2,3,4,5
"ReelfootA2",1,2,3,4,5,0,0,0,0,0,1,2,3,4,5
"ReelfootA3",1,2,3,4,5,0,0,0,0,0,1,2,3,4,5
"ReelfootB1",1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
"ReelfootB2",1,2,3,4,5,0,0,0,0,0,1,2,3,4,5
"ReelfootB3",1,2,3,4,5,0,0,0,0,0,1,2,3,4,5
"ReelfootC1",1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
"ReelfootC3",1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
"ReelfootD1",1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
"ReelfootD2",1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
"ReelfootE1",1,2,3,4,5,0,0,0,0,0,1,2,3,4,5
"Lake IsomA1",0,0,0,0,0,1,2,3,4,5,0,0,0,0,0
"Tennessee NationalA3",1,0,0,0,0,0,2,3,4,0,1,2,3,4,5
"ReelfootD3",0,0,0,0,0,1,2,3,4,5,1,2,3,4,5
"Tennessee NationalB1",0,0,0,0,0,0,0,0,0,0,1,2,3,4,5
"ReelfootC2",0,0,0,0,0,0,0,0,0,0,1,2,3,4,0
