"","Site_id","Occ1_1","Occ1_2","Occ1_3","Occ1_4","Occ1_5","Occ2_1","Occ2_2","Occ3_3","Occ3_4","Occ3_5","Occ2_3","Occ2_4","Occ2_5","Occ3_2","Occ3_1"
"1","Armstrong FerryA1",1,2,3,4,5,1,2,3,4,0,0,0,0,2,1
"2","Armstrong FerryA2",1,2,3,4,5,1,2,3,4,0,0,0,0,2,1
"3","Armstrong FerryB1",1,2,3,4,5,1,2,3,4,5,0,0,0,2,1
"4","Armstrong FerryB2",1,2,3,4,5,1,2,3,4,5,0,0,0,0,0
"5","Armstrong FerryB3",1,2,3,4,5,1,2,3,4,0,0,0,0,2,1
"6","Armstrong FerryC1",1,2,3,4,5,1,2,3,4,0,0,0,0,2,1
"7","ChickamaugaA1",1,2,3,4,5,1,2,3,4,5,3,4,0,2,1
"8","Cordell HullA1",1,2,3,4,5,1,2,3,4,5,3,4,0,2,1
"9","Cordell HullA2",1,2,3,4,5,1,2,3,4,5,3,4,0,2,1
"10","Cordell HullB1",1,2,3,4,5,1,2,3,4,5,3,4,0,2,1
"11","Cordell HullB2",1,2,3,4,5,1,2,3,4,5,3,4,0,2,1
"12","Cordell HullC1",1,2,3,4,5,1,2,3,4,5,3,4,0,2,1
"13","Cowan MarshA1",1,2,3,4,5,1,2,3,4,5,0,0,0,2,1
"14","Cowan MarshA2",1,2,3,4,5,1,2,3,4,5,0,0,0,2,1
"15","Cross CreeksA1",1,2,3,4,5,1,2,3,4,5,3,4,0,2,1
"16","Cross CreeksA2",1,2,3,4,0,1,2,3,4,5,3,4,5,2,1
"17","Cross CreeksA3",1,2,3,4,5,1,2,3,4,5,3,4,0,2,1
"18","Cross CreeksB1",1,2,3,4,5,0,0,3,4,5,0,0,0,2,1
"19","Cross CreeksC1",1,2,3,4,5,1,0,3,4,5,0,0,0,2,1
"20","Cross CreeksD1",1,2,3,4,5,1,2,3,4,5,3,4,5,2,1
"21","HiwasseeA1",1,2,3,4,5,1,0,3,4,5,0,0,0,2,1
"22","HiwasseeB1",1,2,3,4,5,1,0,3,4,5,0,0,0,2,1
"23","HiwasseeB2",1,2,3,4,0,1,0,3,4,5,0,0,0,2,0
"24","HiwasseeC1",1,2,3,4,5,1,0,3,4,5,0,0,0,2,1
"25","HiwasseeC2",1,2,3,4,5,1,0,3,4,5,0,0,0,2,1
"26","Tennessee NationalC1",1,2,3,4,5,1,2,3,4,5,3,4,5,2,1
"27","Tennessee NationalC2",1,2,3,4,5,0,0,3,4,5,0,0,0,2,1
"28","Tennessee NationalC3",1,2,3,4,5,1,2,3,4,5,3,4,5,2,1
"29","Tennessee NationalD1",1,2,3,4,5,1,2,3,4,5,3,4,5,2,1
"30","Tennessee NationalD2",1,2,3,4,5,1,2,3,4,5,3,4,0,2,1
"31","Tennessee NationalD3",1,2,3,4,5,1,2,3,4,5,3,4,5,2,1
"32","West SandyA1",1,2,3,4,5,1,2,0,0,0,3,4,5,0,0
"33","West SandyA2",1,2,3,4,5,1,2,3,4,0,3,4,5,2,1
"34","West SandyA3",1,2,3,4,5,0,0,3,4,5,0,0,0,2,1
"35","Yellow CreekA1",1,2,3,4,5,1,2,3,4,5,3,0,0,2,1
"36","Yellow CreekA2",1,2,3,4,5,1,2,3,4,5,3,0,0,2,1
"37","Cordell HullC2",0,0,0,0,0,1,2,3,4,5,3,4,0,2,1
